Accurate Response,BinSize,Bins,Congruency,RT,Reward Size,ScaleType,Subject,response
0.0,80.0,Bin_4,Con,0.5700929164890001,81.0,Prob,Subj_1,N
1.0,80.0,Bin_4,Con,0.545515060425,75.0,Prob,Subj_1,m
1.0,50.0,Bin_3,Incon,0.577911138535,54.0,Prob,Subj_1,m
0.0,50.0,Bin_3,Incon,0.555939912796,50.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Incon,0.667713880539,20.0,Prob,Subj_1,m
1.0,100.0,Bin_5,Incon,0.6147999763490001,99.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Incon,0.51061797142,100.0,Prob,Subj_1,m
0.0,20.0,Bin_2,Con,0.546993970871,12.0,Prob,Subj_1,m
1.0,100.0,Bin_5,Con,0.539711952209,99.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Incon,0.628146886826,0.0,Prob,Subj_1,k
1.0,0.0,Bin_1,Con,0.565682172775,0.0,Prob,Subj_1,m
1.0,80.0,Bin_4,Incon,0.531934022903,75.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Con,0.499760866165,0.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Con,0.579668045044,49.0,Prob,Subj_1,k
1.0,20.0,Bin_2,Incon,0.60461306572,21.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Con,0.6037099361420001,100.0,Prob,Subj_1,k
1.0,20.0,Bin_2,Con,0.49790906906099996,19.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Incon,0.580255031586,0.0,Prob,Subj_1,m
0.0,80.0,Bin_4,Incon,0.6601228713989999,78.0,Prob,Subj_1,N
1.0,50.0,Bin_3,Con,0.540733098984,45.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Con,0.628535032272,0.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Con,0.6930270195010001,0.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Incon,0.611695051193,95.0,Prob,Subj_1,k
1.0,0.0,Bin_1,Incon,0.49694609642,0.0,Prob,Subj_1,k
1.0,0.0,Bin_1,Incon,0.5328588485719999,0.0,Prob,Subj_1,m
1.0,80.0,Bin_4,Con,0.451809883118,80.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Incon,0.475070953369,52.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Incon,0.530993938446,99.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Incon,0.520720005035,17.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Con,0.490548849106,22.0,Prob,Subj_1,m
1.0,80.0,Bin_4,Con,0.458334922791,70.0,Prob,Subj_1,m
1.0,100.0,Bin_5,Con,0.466326951981,99.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Incon,0.475347042084,22.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Con,0.435731887817,51.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Incon,0.529901981354,80.0,Prob,Subj_1,m
1.0,50.0,Bin_3,Incon,0.513942956924,54.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Con,0.458155155182,18.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Con,0.442787885666,49.0,Prob,Subj_1,m
1.0,100.0,Bin_5,Con,0.43556189537,94.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Incon,0.49856495857199995,80.0,Prob,Subj_1,k
0.0,20.0,Bin_2,Con,0.530141115189,20.0,Prob,Subj_1,N
1.0,80.0,Bin_4,Con,0.43929386138899995,82.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Incon,0.472621917725,0.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Con,0.45992898941000004,97.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Incon,0.442899942398,21.0,Prob,Subj_1,k
0.0,50.0,Bin_3,Incon,0.570125818253,51.0,Prob,Subj_1,N
1.0,80.0,Bin_4,Con,0.527688980103,81.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Incon,0.474369049072,96.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Con,0.442937135696,100.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Incon,0.5069599151609999,50.0,Prob,Subj_1,k
1.0,0.0,Bin_1,Con,0.379661083221,0.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Incon,0.482261896133,96.0,Prob,Subj_1,m
1.0,80.0,Bin_4,Incon,0.529681921005,80.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Incon,0.516470193863,20.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Con,0.508485078812,0.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Con,0.40408420562700004,20.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Con,0.48440408706699994,51.0,Prob,Subj_1,k
1.0,0.0,Bin_1,Incon,0.507925033569,0.0,Prob,Subj_1,m
0.0,80.0,Bin_4,Incon,0.530115127563,73.0,Prob,Subj_1,N
1.0,50.0,Bin_3,Con,0.423026800156,43.0,Prob,Subj_1,m
1.0,50.0,Bin_3,Con,0.39514303207400003,53.0,Prob,Subj_1,k
1.0,0.0,Bin_1,Con,0.46894907951399994,0.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Incon,0.473488092422,0.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Incon,0.474823951721,96.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Con,0.49118494987499994,23.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Con,0.442917108536,19.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Incon,0.443331003189,53.0,Prob,Subj_1,m
0.0,80.0,Bin_4,Incon,0.5301430225370001,72.0,Prob,Subj_1,N
1.0,0.0,Bin_1,Incon,0.456418991089,0.0,Prob,Subj_1,m
1.0,80.0,Bin_4,Con,0.45828199386600005,76.0,Prob,Subj_1,k
1.0,20.0,Bin_2,Incon,0.44347405433700005,20.0,Prob,Subj_1,m
1.0,100.0,Bin_5,Con,0.434784889221,100.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Incon,0.435141086578,22.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Incon,0.475852012634,50.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Incon,0.425794124603,96.0,Prob,Subj_1,k
1.0,0.0,Bin_1,Con,0.40411901474,0.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Con,0.38818407058700005,82.0,Prob,Subj_1,m
1.0,80.0,Bin_4,Incon,0.426745176315,73.0,Prob,Subj_1,m
1.0,50.0,Bin_3,Con,0.47465801238999994,50.0,Prob,Subj_1,m
1.0,100.0,Bin_5,Con,0.427956104279,97.0,Prob,Subj_1,k
1.0,0.0,Bin_1,Con,0.452522993088,0.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Incon,0.449887990952,0.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Con,0.46077990531900004,0.0,Prob,Subj_1,k
0.0,0.0,Bin_1,Incon,0.460086107254,0.0,Prob,Subj_1,N
1.0,50.0,Bin_3,Con,0.40709686279299995,45.0,Prob,Subj_1,m
1.0,100.0,Bin_5,Con,0.33820605278000004,99.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Con,0.42656993866,99.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Con,0.345131158829,17.0,Prob,Subj_1,k
0.0,80.0,Bin_4,Incon,0.500119924545,81.0,Prob,Subj_1,N
1.0,80.0,Bin_4,Incon,0.550852060318,69.0,Prob,Subj_1,m
1.0,50.0,Bin_3,Con,0.506545066833,49.0,Prob,Subj_1,k
0.0,100.0,Bin_5,Incon,0.56008887291,98.0,Prob,Subj_1,N
1.0,80.0,Bin_4,Con,0.37786793708800004,81.0,Prob,Subj_1,k
1.0,20.0,Bin_2,Incon,0.426321029663,21.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Con,0.40357303619400003,20.0,Prob,Subj_1,m
1.0,100.0,Bin_5,Incon,0.482532024384,99.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Incon,0.41059517860399997,45.0,Prob,Subj_1,m
1.0,50.0,Bin_3,Incon,0.411597013474,50.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Con,0.388323068619,83.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Incon,0.36204791069,17.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Con,0.411883115768,76.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Con,0.35087013244599996,97.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Incon,0.43573307991000004,0.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Con,0.49206495284999996,98.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Incon,0.49065709114100003,97.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Incon,0.466383934021,17.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Incon,0.43456602096600006,63.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Incon,0.443701028824,48.0,Prob,Subj_1,k
1.0,0.0,Bin_1,Con,0.43556404113799996,0.0,Prob,Subj_1,k
0.0,50.0,Bin_3,Incon,0.41099405288699997,54.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Con,0.539883136749,78.0,Prob,Subj_1,m
0.0,80.0,Bin_4,Incon,0.5401170253750001,79.0,Prob,Subj_1,N
1.0,0.0,Bin_1,Incon,0.6134259700779999,0.0,Prob,Subj_1,m
1.0,50.0,Bin_3,Con,0.507509946823,45.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Con,0.426119089127,19.0,Prob,Subj_1,m
1.0,100.0,Bin_5,Incon,0.523051977158,98.0,Prob,Subj_1,k
1.0,20.0,Bin_2,Incon,0.458931922913,15.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Con,0.404834985733,0.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Con,0.451637029648,20.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Con,0.451800823212,50.0,Prob,Subj_1,k
0.0,20.0,Bin_2,Incon,0.540135860443,21.0,Prob,Subj_1,N
1.0,50.0,Bin_3,Con,0.387783050537,49.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Con,0.43511795997599995,21.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Con,0.41868805885300003,0.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Con,0.411048173904,81.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Con,0.39443206787100005,97.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Incon,0.475953102112,0.0,Prob,Subj_1,k
1.0,20.0,Bin_2,Con,0.37734603881800005,24.0,Prob,Subj_1,k
0.0,20.0,Bin_2,Incon,0.550148010254,24.0,Prob,Subj_1,N
1.0,80.0,Bin_4,Con,0.411337137222,81.0,Prob,Subj_1,m
1.0,50.0,Bin_3,Con,0.39377498626699997,54.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Con,0.38709902763400006,98.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Incon,0.514251947403,50.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Incon,0.539963006973,97.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Incon,0.410536766052,74.0,Prob,Subj_1,k
0.0,0.0,Bin_1,Incon,0.5700941085819999,0.0,Prob,Subj_1,N
1.0,100.0,Bin_5,Incon,0.529230833054,86.0,Prob,Subj_1,m
0.0,80.0,Bin_4,Incon,0.640117883682,80.0,Prob,Subj_1,N
1.0,50.0,Bin_3,Incon,0.522349834442,53.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Con,0.420739889145,0.0,Prob,Subj_1,m
0.0,100.0,Bin_5,Incon,0.68009185791,98.0,Det,Subj_1,N
1.0,100.0,Bin_5,Con,0.416743040085,96.0,Det,Subj_1,m
1.0,50.0,Bin_3,Incon,0.62028503418,44.0,Det,Subj_1,m
1.0,20.0,Bin_2,Con,0.411713838577,19.0,Det,Subj_1,m
1.0,0.0,Bin_1,Incon,0.596525907516,0.0,Det,Subj_1,k
1.0,0.0,Bin_1,Con,0.42307877540600003,0.0,Det,Subj_1,k
1.0,0.0,Bin_1,Incon,0.422996044159,0.0,Det,Subj_1,m
1.0,0.0,Bin_1,Con,0.447095155716,0.0,Det,Subj_1,m
1.0,100.0,Bin_5,Con,0.390375852585,96.0,Det,Subj_1,k
1.0,80.0,Bin_4,Con,0.444556951523,84.0,Det,Subj_1,k
1.0,80.0,Bin_4,Con,0.387762069702,82.0,Det,Subj_1,m
1.0,50.0,Bin_3,Incon,0.500606060028,49.0,Det,Subj_1,k
1.0,20.0,Bin_2,Incon,0.477138996124,20.0,Det,Subj_1,m
1.0,80.0,Bin_4,Incon,0.453716039658,74.0,Det,Subj_1,k
1.0,20.0,Bin_2,Incon,0.491226911545,17.0,Det,Subj_1,k
1.0,80.0,Bin_4,Incon,0.46022987365699997,81.0,Det,Subj_1,m
1.0,20.0,Bin_2,Con,0.387123823166,24.0,Det,Subj_1,k
1.0,50.0,Bin_3,Con,0.39353609085100005,48.0,Det,Subj_1,m
1.0,50.0,Bin_3,Con,0.36414098739600004,50.0,Det,Subj_1,k
1.0,100.0,Bin_5,Incon,0.469648122787,99.0,Det,Subj_1,k
